# omch2 ombh2 h ns 10^9As b0 loglike weights
9.774158063675748853e-02 2.900414591390843705e-02 6.338906487765882947e-01 9.624794492656725264e-01 2.993219102486529781e+00 2.492447315235223559e+00 0.000000000000000000e+00 -1.198677207032416714e+06
1.527910180155054309e-01 2.065955743207028780e-02 7.051538889947240873e-01 9.275998299442246298e-01 2.266015654606382768e+00 4.102564748832350228e-01 0.000000000000000000e+00 -1.345613858859588858e+06
1.506284067760563505e-01 1.984285603676485404e-02 6.682264619444691078e-01 9.905504583077545666e-01 2.189279788528835535e+00 2.418212865372728615e+00 0.000000000000000000e+00 -1.819046580459759803e+06
1.112007836932123461e-01 2.621005890699475843e-02 6.677110705127770052e-01 9.901382391962574303e-01 2.246959149999223193e+00 6.596061692209118643e-01 0.000000000000000000e+00 -6.681574313751746668e+05
1.340769376906552901e-01 2.896435220616691564e-02 7.184368253705152307e-01 9.328697755956962823e-01 2.006875755802743466e+00 1.789901168065525017e+00 0.000000000000000000e+00 -5.754521347010346362e+05
1.102568976043920707e-01 2.179236234192126476e-02 6.345709686032888763e-01 9.475403978917724679e-01 2.868493388346569084e+00 2.219572771002736644e+00 0.000000000000000000e+00 -1.265036270013630623e+06
1.599701208230729366e-01 2.453865356486956140e-02 6.686268152554615263e-01 9.400239985864033976e-01 2.282381917656587156e+00 2.457754541764278322e+00 0.000000000000000000e+00 -1.885421874983448070e+06
1.504103216025224898e-01 1.931346959271171282e-02 6.156319278039755760e-01 9.388672880890860384e-01 2.667004921417870378e+00 1.403356554957970737e+00 0.000000000000000000e+00 -6.915410648731326219e+05
1.424661096925943782e-01 1.806535626064536063e-02 7.163269903586129139e-01 9.938610066425064282e-01 2.988301479965230101e+00 3.502019428994624928e-01 0.000000000000000000e+00 -1.423172719689618796e+06
1.175706125374937905e-01 2.716697002619897217e-02 6.118428043113222081e-01 9.294074582118013739e-01 2.578122222641220596e+00 1.880089513252627853e+00 0.000000000000000000e+00 -7.153160805568898795e+05
1.229028258557420261e-01 2.703163258427524612e-02 6.469872124416138348e-01 9.467657894075414138e-01 2.447869737315487626e+00 2.317234582962191869e+00 0.000000000000000000e+00 -1.241226543940009084e+06
1.103582682337070214e-01 1.607815443603817507e-02 6.614667314767705975e-01 9.465876069574018503e-01 2.605635451076974807e+00 2.404096526660630673e+00 0.000000000000000000e+00 -1.487082490109465551e+06
1.563948385493010851e-01 2.709782050793010932e-02 7.145212090484132084e-01 9.293008433050689021e-01 2.174288577846759107e+00 2.498278825949855175e+00 0.000000000000000000e+00 -1.780028556430859026e+06
1.340373810186542003e-01 2.817793283109502889e-02 7.368552915681632065e-01 9.246330255729833247e-01 2.984633583171506288e+00 2.050377712997047297e+00 0.000000000000000000e+00 -1.390467759582501603e+06
1.435301864767986879e-01 2.746752719594433567e-02 7.232274485907289607e-01 9.236793014211015507e-01 2.594552282249084740e+00 1.895775091636726639e+00 0.000000000000000000e+00 -1.150232395756976679e+06
9.906675807234605058e-02 2.180499145998780405e-02 7.438533192036136388e-01 9.757636060821461843e-01 2.814394289800076443e+00 2.111180791626488418e+00 0.000000000000000000e+00 -9.583860603809516178e+05
1.582385668930716138e-01 1.788676479145038731e-02 6.231032847161492860e-01 9.597774553064921665e-01 2.411755439874755602e+00 3.817973559693087493e-01 0.000000000000000000e+00 -1.386514002807058860e+06
1.189590046146754981e-01 1.823687205011761264e-02 7.232704643402911859e-01 9.406875685938481668e-01 2.769484167521393481e+00 2.179009193497726482e+00 0.000000000000000000e+00 -1.426249587483908748e+06
8.784826640952371479e-02 2.826735969998467324e-02 6.285968989877803725e-01 9.346315798132328601e-01 2.499397480164746721e+00 2.442674202016975826e+00 0.000000000000000000e+00 -6.948684820200421382e+05
1.307857818363138414e-01 2.879945029224399017e-02 6.452094576295184236e-01 9.954409898595897310e-01 2.094722161092179569e+00 2.453883859050556726e+00 0.000000000000000000e+00 -1.280757090802405728e+06
1.165931294549203967e-01 2.007918605978071050e-02 6.941296615608876230e-01 9.230568991463289352e-01 2.109053543837371869e+00 2.246996807799202411e+00 0.000000000000000000e+00 -1.027286966978161479e+06
1.504441303751994363e-01 1.527687776324363270e-02 7.072526470096670570e-01 9.547350431552875660e-01 2.756776490044101635e+00 2.302791504642480724e+00 0.000000000000000000e+00 -2.114519295148932375e+06
1.221177063982722827e-01 2.010587123917929875e-02 6.192501478676057936e-01 9.814104765090987392e-01 2.895647549720720360e+00 1.516846026549926396e+00 0.000000000000000000e+00 -6.561071181429099524e+05
1.264062680658060434e-01 2.659510746158730288e-02 7.272820054454290917e-01 9.388390536624587890e-01 2.728719304885133923e+00 1.950824706969836786e+00 0.000000000000000000e+00 -1.077977403984336648e+06
1.201840971911717071e-01 1.580425156736807793e-02 7.287819364010448275e-01 9.754808934435887924e-01 2.346211305755019794e+00 2.094434162739108984e+00 0.000000000000000000e+00 -1.205707221897088690e+06
1.026894886941208396e-01 2.359860224903152781e-02 6.936951171920000547e-01 9.851806207546009997e-01 2.080637566874909083e+00 3.023118934905655308e-01 0.000000000000000000e+00 -6.142245241082811728e+06
1.189180635658668994e-01 2.324121065821909554e-02 6.306091378169419448e-01 9.415204038205012838e-01 2.866919181976848474e+00 3.748641592781265519e-01 0.000000000000000000e+00 -2.259254845969249494e+06
1.143836672775042085e-01 1.767743787609072498e-02 6.807794960839933518e-01 9.902633105516727152e-01 2.937939426562783396e+00 2.473592390486014647e+00 0.000000000000000000e+00 -1.811937019734790083e+06
1.160022473765937034e-01 1.564167387467235715e-02 7.057576343130559371e-01 9.297539055525053664e-01 2.451992210474587708e+00 2.028542001949079854e+00 0.000000000000000000e+00 -1.088326455067031784e+06
1.355313213282826057e-01 1.975889391057469857e-02 6.841315435825904290e-01 9.928183656554779857e-01 2.001755771557698793e+00 3.533789315310325030e-01 0.000000000000000000e+00 -2.899061090054570232e+06
1.110514936900548477e-01 1.861186229149794022e-02 6.362719310913096393e-01 9.416627379159808742e-01 2.135051223242609097e+00 2.206870884783588060e+00 0.000000000000000000e+00 -9.323837558566698572e+05
1.334404996738729476e-01 1.780153063330031440e-02 6.865494681275610134e-01 9.512957644812957136e-01 2.717376884649751023e+00 1.848542212180301458e+00 0.000000000000000000e+00 -1.218257450124723837e+06
1.248956218882980307e-01 1.983200974808307926e-02 6.657015483458714744e-01 9.973775475557751236e-01 2.752668417400763623e+00 1.452474213293725835e+00 0.000000000000000000e+00 -5.900425483488119207e+05
1.489602649259361422e-01 2.992391723178516177e-02 7.019854753181546947e-01 9.928615949035888288e-01 2.180150795822187515e+00 1.867471314086845746e+00 0.000000000000000000e+00 -9.624677283379435539e+05
1.412604693329349848e-01 2.034879431814660966e-02 7.002102789392050664e-01 9.912266830490402691e-01 2.346073640647231784e+00 1.936675190404305580e+00 0.000000000000000000e+00 -1.228265610121689737e+06
1.030103430507023909e-01 2.252811266939414026e-02 7.169179239946881221e-01 9.713567068926554082e-01 2.517139642588927195e+00 5.013973874650966556e-01 0.000000000000000000e+00 -1.549925690798044903e+06
1.553225087393518555e-01 2.916569110270670825e-02 6.810377497288792048e-01 9.240287155156097221e-01 2.917696952670576938e+00 1.600354153913040367e+00 0.000000000000000000e+00 -9.908783347705025226e+05
8.790828378967567580e-02 1.647922131430109433e-02 7.384679389045658571e-01 9.496067817833641067e-01 2.131456112684197102e+00 2.306451516411565983e+00 0.000000000000000000e+00 -6.873681790954879252e+05
9.282173038635810336e-02 1.705487074577176007e-02 6.961404851306662867e-01 9.613968181723292483e-01 2.767617863054641525e+00 1.873614473684753534e+00 0.000000000000000000e+00 -6.670222905570676085e+05
1.089755577304386824e-01 2.011744361844941195e-02 7.139159606706366734e-01 9.752755026980318709e-01 2.117285276431875918e+00 2.409422712058294280e+00 0.000000000000000000e+00 -1.111974927221703110e+06
1.147383689724665867e-01 2.034421510528600097e-02 6.602462496238425960e-01 9.227608547564505326e-01 2.604900624630587469e+00 1.673465727377652090e+00 0.000000000000000000e+00 -6.191058774661861826e+05
1.114520960927415649e-01 1.596454474831701664e-02 6.858316763764957802e-01 9.752207720000609648e-01 2.795996191328555369e+00 1.860601865820513678e+00 0.000000000000000000e+00 -1.006602756390065537e+06
1.358941955585731554e-01 1.622368586529351897e-02 6.410006649662292055e-01 9.357435866256053059e-01 2.544588833137431116e+00 1.552333512093805989e+00 0.000000000000000000e+00 -7.702649198750497308e+05
1.437115392498540811e-01 2.191217389658332154e-02 7.132700346868030561e-01 9.769917387994750957e-01 2.252115713868068525e+00 1.682322449041408818e+00 0.000000000000000000e+00 -8.479132390773661900e+05
1.141745165547404378e-01 2.374398427334362474e-02 7.373098980468028030e-01 9.459362432172648827e-01 2.373743054775037109e+00 3.388143229402378331e-01 0.000000000000000000e+00 -3.757092292226362973e+06
1.505207094139995039e-01 2.007980214438014402e-02 6.923492363587719911e-01 9.724846937477424902e-01 2.416404393402070916e+00 1.857234851645213736e+00 0.000000000000000000e+00 -1.265347860626155511e+06
1.084025586147338710e-01 1.896394690125524640e-02 6.253085523556943803e-01 9.851348999320481692e-01 2.961208741932152666e+00 2.287096241082829717e+00 0.000000000000000000e+00 -1.443857813472352456e+06
1.575157073649112727e-01 2.804105911719758509e-02 6.375790416676850869e-01 9.318560386066674361e-01 2.993261595355290350e+00 2.077822860645387237e+00 0.000000000000000000e+00 -1.692366782086137682e+06
1.393743386357745029e-01 2.160353320864429744e-02 6.965937768588219559e-01 9.743011611020401253e-01 2.234048979252429401e+00 3.174321491544267460e-01 0.000000000000000000e+00 -3.198402165791276377e+06
1.484262343079488788e-01 1.670833805650701401e-02 6.356783550398318328e-01 9.982316463991771638e-01 2.972516340158748882e+00 4.013321597119144934e-01 0.000000000000000000e+00 -8.214645488062325167e+05
1.048210561655081863e-01 2.226804900884541902e-02 6.950683297403014160e-01 9.863077576699307292e-01 2.749302841161151534e+00 1.800149252430471636e+00 0.000000000000000000e+00 -6.908965336888208985e+05
1.181830572257638601e-01 2.842046255120558168e-02 6.830241205660748660e-01 9.642320938598371027e-01 2.570199978652737194e+00 2.240193353231361595e+00 0.000000000000000000e+00 -1.159952362713848474e+06
