# Omegam Omegab weights loglike
2.938608772300545513e-01 4.960157758648792853e-02 0.000000000000000000e+00 -3.080764011235874023e+03
3.543786169033300570e-01 5.033363109320680012e-02 0.000000000000000000e+00 -4.940743672830873948e+03
3.418850290414598980e-01 4.937520429631873931e-02 0.000000000000000000e+00 -2.192542792258277586e+03
2.892786343533592097e-01 4.946458937374428183e-02 0.000000000000000000e+00 -4.358324348690538500e+03
2.837551395688720501e-01 4.920116356714385880e-02 0.000000000000000000e+00 -6.216075063895505991e+03
3.021112246974432813e-01 4.981322675818255358e-02 0.000000000000000000e+00 -1.365902094610463791e+03
3.337230882033072055e-01 5.017203293174431200e-02 0.000000000000000000e+00 -8.978474661632044445e+02
3.290437673509508665e-01 4.961859577921724079e-02 3.258556068217267674e-189 -4.342133629286828409e+02
3.018983545337275975e-01 4.987981658730872986e-02 0.000000000000000000e+00 -1.404951067801165891e+03
3.095748387253619005e-01 5.007261195866960501e-02 3.789338946758654413e-186 -4.271547002395988102e+02
3.008624152330143797e-01 5.065064244226224338e-02 0.000000000000000000e+00 -1.630780172353364833e+03
3.071128895962802474e-01 4.881627356250498040e-02 4.174570927253240790e-276 -6.342905386114578050e+02
3.084720277531283195e-01 4.957122479768499151e-02 1.123998645301575404e-224 -5.158682328106503974e+02
3.090286748574481157e-01 5.032460243240816089e-02 7.742031766347722002e-212 -4.863074400856789339e+02
3.039822613074844027e-01 4.980746676254260707e-02 0.000000000000000000e+00 -1.074790322899128114e+03
3.056172598975805954e-01 5.045579172324834299e-02 0.000000000000000000e+00 -8.789395390833226429e+02
3.060428262576170289e-01 4.934907508096646189e-02 0.000000000000000000e+00 -7.782063972618328762e+02
3.298400714481067864e-01 4.947376865589118988e-02 5.473164366284947263e-222 -5.096800982269646738e+02
3.057418740394071688e-01 4.950946625469824364e-02 0.000000000000000000e+00 -8.221195594608336705e+02
3.321211126048267959e-01 5.031225498068082891e-02 1.858460675030354038e-308 -7.087825246173629239e+02
3.067258764999078458e-01 4.918701169071718754e-02 1.377276279202960452e-300 -6.906614845863080063e+02
3.362432717619131539e-01 4.983801316052607899e-02 0.000000000000000000e+00 -1.244212514399597694e+03
3.357518502793092052e-01 4.929436906161374643e-02 0.000000000000000000e+00 -1.203226005382658059e+03
3.009892184538406346e-01 5.101638187632163285e-02 0.000000000000000000e+00 -1.630872666583691625e+03
3.011544640647981774e-01 4.939986076395103815e-02 0.000000000000000000e+00 -1.505809814575314931e+03
3.305187880396140421e-01 4.965636829696680465e-02 3.414702032670997011e-247 -5.677164922590326341e+02
3.057415072581267657e-01 5.018389290631915939e-02 0.000000000000000000e+00 -8.506009521825762931e+02
3.080805807543000041e-01 5.030866024963512317e-02 3.545808902056862977e-253 -5.814943267386298658e+02
3.305243655561307392e-01 5.079893146732673143e-02 1.898557780397939297e-231 -5.314621264728419874e+02
3.056284699630577029e-01 4.909239565520365223e-02 0.000000000000000000e+00 -8.200140431954823725e+02
3.054063376679277964e-01 4.885803569556421838e-02 0.000000000000000000e+00 -8.393045348458167609e+02
3.048005178949290128e-01 5.017141034000555805e-02 0.000000000000000000e+00 -9.757642399928097348e+02
3.059689973691679943e-01 4.978857537751361917e-02 0.000000000000000000e+00 -8.048867296912970914e+02
3.367968748776630217e-01 5.027209146256862715e-02 0.000000000000000000e+00 -1.301361917853894056e+03
3.360402089034854045e-01 4.995442017506629417e-02 0.000000000000000000e+00 -1.209831045037193462e+03
3.328292685224339409e-01 4.962175361581930289e-02 0.000000000000000000e+00 -8.151121916837103072e+02
3.359056838272740930e-01 5.111681381072517155e-02 0.000000000000000000e+00 -1.137130019547343863e+03
3.120827931312881165e-01 4.910936169592022837e-02 6.002955866231034888e-93 -2.117046058810483942e+02
3.114816507907923748e-01 4.981736793130546459e-02 7.588779722077461585e-117 -2.667322293011438887e+02
3.129059978457743862e-01 5.030673494009172547e-02 1.235128386516511705e-81 -1.856546618360399918e+02
3.137032657756366749e-01 4.952542595937949738e-02 9.858631781761130125e-57 -1.283154471310946576e+02
