# loglike weights omch2 ombh2 h ns 10^9As b0
9.345843952667111376e-02 2.675256364253505645e-02 7.014953751565085049e-01 9.505557097620460638e-01 2.128221895528748853e+00 6.994943209585565702e-01 0.000000000000000000e+00 -1.490194430244546384e+06
1.480774029220163768e-01 2.516273863276842493e-02 6.809221489383791015e-01 9.951633626644681430e-01 2.523404458442268350e+00 1.433838765657161840e+00 0.000000000000000000e+00 -5.374133170117759146e+05
1.126139796699246881e-01 2.436719884404194014e-02 6.139740958931165782e-01 9.990279550525646979e-01 2.121235731957565207e+00 5.769029858904760610e-01 0.000000000000000000e+00 -1.544634147502447944e+06
1.307965818904325561e-01 1.939369301840611348e-02 7.326387010672104072e-01 9.285776467525170830e-01 2.637013127794568312e+00 1.309686032539753242e+00 0.000000000000000000e+00 -3.239298577433067840e+05
1.302949439810163479e-01 2.521157584767045809e-02 6.708512928374568141e-01 9.678285097160675976e-01 2.958516711418000877e+00 1.358955231392580121e+00 0.000000000000000000e+00 -4.051711969766195980e+05
1.071815383808679967e-01 2.601140507094477222e-02 6.345274058464509537e-01 9.517532798750008016e-01 2.677588933433859175e+00 1.463713541282139374e+00 0.000000000000000000e+00 -1.804211869054049312e+05
1.450555254268018346e-01 2.609452535952509755e-02 7.061865267646229016e-01 9.619217698970087271e-01 2.650586608363130203e+00 1.350686183387623585e+00 0.000000000000000000e+00 -4.289042678801215370e+05
8.965433664403013592e-02 2.490173288170995092e-02 7.250011000900437041e-01 9.879988411503854984e-01 2.236822692626244891e+00 1.085314159313017113e+00 0.000000000000000000e+00 -1.516583428090281668e+05
1.350327063416086881e-01 1.897400663331494028e-02 7.421172478811459694e-01 9.365807573577716871e-01 2.846859099739517340e+00 1.233126871441705186e+00 0.000000000000000000e+00 -3.404481919086335693e+05
1.482289948552152903e-01 1.962204835514298057e-02 6.792519489081102479e-01 9.749903923291304286e-01 2.684723433430808548e+00 5.548334735427274955e-01 0.000000000000000000e+00 -3.309976942521967576e+05
1.375906478318345838e-01 1.934042935447649256e-02 7.056319279942493417e-01 9.629479809170836679e-01 2.303515587739228376e+00 5.897436870578827151e-01 0.000000000000000000e+00 -4.890497234626165009e+05
