1  1.40957	2.288981e+00	1.128317e-01	9.703380e-01	2.366379e+00	6.796836e-01	1.008406e+00	
2  0.900354	2.269168e+00	1.125739e-01	9.688969e-01	2.385947e+00	6.748535e-01	1.005378e+00	
2  1.21348	2.329379e+00	1.138274e-01	9.680184e-01	2.384540e+00	6.791692e-01	1.001570e+00	
1  2.2475	2.352647e+00	1.146133e-01	9.672200e-01	2.368147e+00	6.792887e-01	1.002750e+00	
1  4.15219	2.300515e+00	1.144272e-01	9.683099e-01	2.347732e+00	6.786953e-01	1.003605e+00	
4  2.5378	2.340478e+00	1.143193e-01	9.689463e-01	2.367835e+00	6.798406e-01	1.002826e+00	
1  2.34911	2.390834e+00	1.148229e-01	9.685401e-01	2.374316e+00	6.811061e-01	1.002509e+00	
3  2.36991	2.379715e+00	1.148856e-01	9.677038e-01	2.367705e+00	6.805160e-01	1.003117e+00	
1  2.38428	2.345226e+00	1.144506e-01	9.688877e-01	2.351839e+00	6.809786e-01	1.006191e+00	
2  2.54901	2.345226e+00	1.144506e-01	9.688877e-01	2.351839e+00	6.809786e-01	1.006067e+00	
1  3.43424	2.374948e+00	1.154956e-01	9.663646e-01	2.333915e+00	6.841532e-01	1.005971e+00	
1  2.19518	2.356109e+00	1.151041e-01	9.641116e-01	2.339172e+00	6.858407e-01	1.005807e+00	
2  2.18227	2.364186e+00	1.155294e-01	9.627631e-01	2.336739e+00	6.877623e-01	1.003937e+00	
1  1.44207	2.364186e+00	1.155294e-01	9.627631e-01	2.336739e+00	6.877623e-01	1.005033e+00	
1  1.27135	2.359553e+00	1.153127e-01	9.627308e-01	2.349397e+00	6.864915e-01	1.003306e+00	
1  1.40576	2.414184e+00	1.157617e-01	9.640038e-01	2.357310e+00	6.876143e-01	1.002857e+00	
1  0.863164	2.422761e+00	1.165413e-01	9.618403e-01	2.347852e+00	6.906023e-01	1.000136e+00	
2  0.747107	2.456576e+00	1.172985e-01	9.598275e-01	2.342022e+00	6.965682e-01	9.982509e-01	
1  0.823053	2.456576e+00	1.172985e-01	9.598275e-01	2.342022e+00	6.965682e-01	9.978901e-01	
1  1.04733	2.402739e+00	1.158245e-01	9.604132e-01	2.375212e+00	6.912284e-01	9.961607e-01	
4  1.3895	2.333980e+00	1.154713e-01	9.597011e-01	2.351413e+00	6.909823e-01	9.979746e-01	
1  1.74007	2.333980e+00	1.154713e-01	9.597011e-01	2.351413e+00	6.909823e-01	9.983599e-01	
1  2.32978	2.317598e+00	1.161746e-01	9.573419e-01	2.333331e+00	6.918543e-01	9.966149e-01	
2  2.69683	2.300066e+00	1.159318e-01	9.559929e-01	2.339905e+00	6.907404e-01	9.957645e-01	
7  2.18783	2.320939e+00	1.159296e-01	9.570099e-01	2.346670e+00	6.910927e-01	9.957404e-01	
1  2.11312	2.349100e+00	1.167510e-01	9.568098e-01	2.332396e+00	6.912167e-01	9.963788e-01	
1  2.2767	2.349100e+00	1.167510e-01	9.568098e-01	2.332396e+00	6.912167e-01	9.968504e-01	
1  1.94814	2.416396e+00	1.168776e-01	9.577924e-01	2.352956e+00	6.920389e-01	9.971453e-01	
1  2.4541	2.425639e+00	1.171525e-01	9.573597e-01	2.362250e+00	6.907298e-01	9.942554e-01	
1  2.82725	2.409762e+00	1.169767e-01	9.563369e-01	2.368114e+00	6.911934e-01	9.925475e-01	
1  3.06862	2.309481e+00	1.160126e-01	9.564638e-01	2.347239e+00	6.877484e-01	9.956173e-01	
1  3.57151	2.286798e+00	1.154562e-01	9.567866e-01	2.355229e+00	6.860073e-01	9.957638e-01	
2  3.49905	2.286798e+00	1.154562e-01	9.567866e-01	2.355229e+00	6.860073e-01	9.957425e-01	
1  3.28753	2.335228e+00	1.162267e-01	9.550290e-01	2.342924e+00	6.901145e-01	9.976630e-01	
1  4.13018	2.296356e+00	1.159986e-01	9.555414e-01	2.317975e+00	6.921831e-01	1.000764e+00	
2  2.88124	2.353008e+00	1.161986e-01	9.568156e-01	2.335858e+00	6.912079e-01	1.000573e+00	
2  3.82424	2.353008e+00	1.161986e-01	9.568156e-01	2.335858e+00	6.912079e-01	1.000874e+00	
1  3.61413	2.389695e+00	1.162440e-01	9.584156e-01	2.357306e+00	6.911638e-01	9.982421e-01	
1  3.11415	2.390298e+00	1.164577e-01	9.587273e-01	2.351333e+00	6.914085e-01	9.980370e-01	
1  2.62478	2.395280e+00	1.166467e-01	9.604702e-01	2.337426e+00	6.931000e-01	9.994848e-01	
1  2.74701	2.412316e+00	1.174980e-01	9.583930e-01	2.336619e+00	6.945538e-01	9.953820e-01	
1  2.09438	2.412316e+00	1.174980e-01	9.583930e-01	2.336619e+00	6.945538e-01	9.947624e-01	
1  1.44214	2.446767e+00	1.170696e-01	9.613687e-01	2.346203e+00	6.951907e-01	9.978393e-01	
2  1.8172	2.475366e+00	1.175239e-01	9.630152e-01	2.337161e+00	6.954173e-01	9.991494e-01	
